"Part";"Value";"Device";"Package";"Description";"";
"C1";"33u/20V";"CPOL-EUSMCC";"SMC_C";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"10u/10V";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C7";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C10";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C11";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"IC1";"STM32F103T8";"STM32F10XTXU6";"VFQFPN36";"STM32F101/103 36pad VFQPFN36";"";
"IC2";"TC1015-3.3VCT713";"V_REG_TPS76433SOT23-5";"SOT23-5";"Voltage Regulator";"";
"IC3";"DRV8313PWPR";"DRV8313";"HTSSOP28";"";"";
"IC4";"TLE5012B E1000X";"TLE5012B";"SO08";"";"";
"LED1";"red";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"LED2";"green";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"PH1";"SWD";"P4X1_1P27-OCT_BILEX";"4X1_1P27_OCT_BILEX";"";"";
"PH2";"PINHEAD_5X1WITHOUT";"PINHEAD_5X1WITHOUT";"PINHEAD_5X1_WO";"";"";
"PH3";"MOT";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"Q1";"CSTCE8M00G55-R0";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";
"R1";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"2.2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R5";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"SJ1";"BOOT0";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ2";"ID2";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ3";"ID1";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
