"Part";"Value";"Device";"Package";"Description";"TP_SIGNAL_NAME";
"5V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"BAT+";"";"M1X1";"1X1_WITHOUT";"";"";
"BAT-";"";"M1X1";"1X1_WITHOUT";"";"";
"C1";"10u/35V";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"10u/10V";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C6";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"D1";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"D2";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"D3";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"D4";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"IC1";"CP2102N-A01-GQFN20";"CP2102N-QFN20";"QFN20-CP2102N";"";"";
"IC2";"NUF2042XV6";"NUF2042XV6";"SOT563-6";"";"";
"IC3";"LMR14206";"MP2359";"SOT23-6";"";"";
"JP1";"PINHEAD_5X1WITHOUT";"PINHEAD_5X1WITHOUT";"PINHEAD_5X1_WO";"";"";
"L1";"LPS4018-103MRC";"L";"L4X4";"";"";
"R1";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"5.62k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"RX-CP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"TX-CP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"U$1";"SJ-2WAY-WPASTECONNECT";"SJ-2WAY-WPASTECONNECT";"SJ-2WAY-BIG-WPASTEC";"";"";
"USB";"Amphenol 10118192-0001LF";"USB-MICROB";"USB-MICROB";"USB Connectors";"";
