"Comment","Designator","Footprint","LCSC"
"0.1uF","C1, C2, C8, C9, C11, C14, C16, C17, C18, C19, C20, C21","0402 (1005 metric)","C60474"
"10uF","C3, C22","1210 (3225 metric)","C13585"
"100uF","C6","CASE A","C313517"
"10uH","L1","4x4","C38117"
"TPS54302","U1","SOT23-6","C311983"
"0.1uF","C4","0603 (1608 metric)","C14663"
"10uF","C5, C7","0603 (1608 metric)","C19702"
"10k","R4, R6, R8, R9, R12","0402 (1005 metric)","C25744"
"75k","R5","0402 (1005 metric)","C25798"
"STM32F103RCT6","U3","LQFP-64","C8323"
"8MHz","Q1","3213","C341522"
"GREEN","LED1","0603 (1608 metric)","C84264"
"RED","LED2","0603 (1608 metric)","C90692"
"PMEG3010ER","D1, D2, D3","SOD-123","C456106"
"SM04B-SRSS-TB","J6, J7","4-pin","C160404"
"SM03B-SRSS-TB","J10","3-pin","C160403"
"CP2102N","U4","QFN-20","C969913"
"1k5","R7","0402 (1005 metric)","C25867"
"15k","R3","0402 (1005 metric)","C25756"
"DRV8839","U7, U8, U9, U10, U11","WSON-12","C128627"
"XC6210B332MR","U2","SOT23-5","C424705"
"2k2","R1, R2, R13","0402 (1005 metric)","C25879"
"SM07B-SRSS-TB","J4","7-pin","C160393"
"4k7","R14","0402 (1005 metric)","C25900"
"74AHC1G86","U6","SOT23-5","C7471"
"4.7uF","C13, C15","0402 (1005 metric)","C23733"
"10nF","C12","0402 (1005 metric)","C15195"
"ICM42688","U5","SMD","C1850418"
"usb-c","J3","smd/tht","C668624"
"SM05B-SRSS-TB","J5","5-pin","C136657"
"5k1","R10, R11","0402 (1005 metric)","C25905"
"2.2uF","C10","0402 (1005 metric)","C12530"
