"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","18.8","10.3","T","0"
"C3","12.1","3","T","270"
"C6","9.4","13.8","T","90"
"L1","13.1","7.9","T","90"
"U1","17.8","7.9","T","270"
"C4","8.9","1.3","T","180"
"C5","17","12","T","0"
"R8","20.9","6.3","T","180"
"R5","16.8","10.3","T","180"
"FIDUCIAL2","20.7","4.4","T","0"
"FIDUCIAL3","6.3","20.6","T","0"
"FIDUCIAL4","7.2","5.3","B","0"
"FIDUCIAL5","6.5","33.5","B","0"
"FRAMEBRD1","-78.4","-52.5","T","0"
"FIDUCIAL1","7.2","31.8","T","0"
"FIDUCIAL6","15","17.2","B","0"
"U3","13.3","26","T","90"
"Q1","11.1","17.7","T","180"
"R4","20.8","19.1","T","270"
"LED1","8.7","38.1","T","270"
"LED2","6.9","38.1","T","270"
"R6","5.9","25","T","270"
"D1","14.5","3","T","270"
"C8","19.5","19.1","T","270"
"J6","25.9","10.7","T","90"
"J7","25.9","3.7","T","90"
"J14","26.7","18.38","T","270"
"J12","26.7","26","T","270"
"J9","26.7","33.62","T","270"
"J13","24.16","38.7","T","180"
"J10","17.2","37.9","B","180"
"J2","19.08","3.14","T","0"
"J1","16.54","3.14","T","0"
"U4","8.2","4.9","T","180"
"C14","7.4","8.3","T","90"
"R9","6.7","1.3","T","90"
"C9","10","8.3","T","90"
"D2","13.1","11.5","T","0"
"D3","2.8","7.5","T","0"
"R7","18.8","5.5","T","180"
"R3","16.8","5.5","T","180"
"C2","20.8","26.6","T","90"
"U7","23.6","35.1","T","180"
"U8","23.6","30.3","T","180"
"U9","23.6","25.5","T","180"
"U10","23.6","20.7","T","180"
"U11","23.6","15.9","T","180"
"U2","13.1","14.5","T","270"
"C7","16.4","14.5","T","270"
"J11","10.35","36.96","T","90"
"R1","20.9","9.6","T","0"
"R2","20.9","10.8","T","0"
"J4","25.9","7.2","B","270"
"R13","8.7","35.6","T","270"
"R14","6.9","36","T","0"
"U6","15.3","17.7","T","270"
"R12","6.9","34.8","T","180"
"BL","7.5","23.8","B","270"
"C15","8.3","19.7","T","270"
"C12","19.2","12","T","270"
"C16","5.9","22.8","T","90"
"C17","18.2","19.1","T","90"
"C18","20.8","28.8","T","270"
"C19","6.9","33.6","T","180"
"C20","20.8","23.1","T","270"
"C22","20","34.4","T","90"
"U5","19.5","15.9","T","270"
"J3","5.5","13.8","T","270"
"J5","15","37.9","T","180"
"R10","8.3","17.6","T","90"
"R11","9.4","10.2","T","0"
"C13","8.7","8.3","T","90"
"C11","20.9","12","T","0"
"C10","20.9","13.2","T","0"
"C21","20.9","8.4","T","180"
"JP1","21.4","1.4","B","180"
"J8","2.57","26","T","0"
