Designator,Mid X,Mid Y,Layer,Rotation
C1, 7.14, 5.79,Top,180.0
C2, 8.57, 8.89,Top,270.0
C3,19.05,12.78,Top,90.0
C4, 9.13,13.10,Top,270.0
C5,18.81, 5.87,Top,0.0
C6,11.83,16.99,Top,90.0
C7,13.34,17.22,Top,90.0
C8,12.78,19.84,Top,180.0
C9,10.24,19.84,Top,0.0
C10,18.81, 7.30,Top,0.0
IC1,13.73,10.95,Top,180.0
IC2, 7.14, 2.54,Top,0.0
IC3,16.59,18.26,Top,270.0
IC4, 9.68,16.67,Top,90.0
JP1,13.41, 2.78,Top,0.0
LED1, 5.79,18.57,Top,90.0
LED2, 5.79,19.92,Top,90.0
Q1,18.81, 9.68,Top,180.0
R1,18.81, 4.45,Top,180.0
R2, 7.46,15.88,Top,90.0
R3, 8.02,19.29,Top,90.0
SJ1,16.67, 6.83,Top,270.0
SJ2,18.73, 1.75,Top,180.0
