Designator,Mid X,Mid Y,Layer,Rotation
BAT1,15.08,23.18,Top,0.0
C1, 5.71, 9.68,Top,180.0
C2, 4.13,20.96,Top,90.0
C3,10.00,20.96,Top,90.0
C4,12.70,18.10,Top,90.0
C5,11.91,10.48,Top,180.0
C6,21.43, 7.78,Top,270.0
C7,25.64,15.72,Top,0.0
C8,23.18, 8.89,Top,270.0
C9,22.70,17.94,Top,90.0
C10,13.97, 7.46,Top,0.0
IC1,17.62,13.34,Top,180.0
IC2, 7.14,20.80,Top,180.0
JP1, 4.76,15.24,Top,270.0
LED1,26.91,21.11,Top,0.0
LED2,26.91,18.10,Top,0.0
Q1,24.92,12.86,Top,90.0
Q2,25.72, 9.21,Top,90.0
R1,25.08,20.64,Top,90.0
R2,25.08,17.94,Top,270.0
R3,18.89, 7.46,Top,0.0
R4,21.99,20.16,Top,0.0
